Year,months,Precipitation,Tem_min,Temp_mx,T_mean,Relative_humidity,Sea_surf_Temp,Wind_speed,SPI3,SPI6,SPI9,SPI12,SPI18,SPI24,SPI36,SPI48
1981,1,35.2384,16.983,30.9722,23.9522,61.6847,27.5122,4.31898,-1.25,-99,-99,-99,-99,-99,-99,-99
1981,2,35.279,17.45,31.5782,24.4892,63.8816,27.8221,4.7223,-0.86,-99,-99,-99,-99,-99,-99,-99
1981,3,109.927,19.147,31.3177,25.2069,71.0475,28.5065,3.76026,2.62,-99,-99,-99,-99,-99,-99,-99
1981,4,104.899,19.462,31.3774,25.3943,70.6338,29.2381,3.53287,0.73,-99,-99,-99,-99,-99,-99,-99
1981,5,83.1557,19.4929,31.1699,25.3058,71.5098,28.6568,4.65519,0.1,-99,-99,-99,-99,-99,-99,-99
1981,6,40.6063,18.6465,30.8769,24.7369,71.6087,27.4046,5.58217,-2.1,0.43,-99,-99,-99,-99,-99,-99
1981,7,83.7359,18.0194,29.092,23.5309,74.7633,26.1781,6.13943,1.22,1.22,-99,-99,-99,-99,-99,-99
1981,8,91.5776,18.6399,29.9831,24.2866,74.7199,25.8855,5.53776,0.86,1.64,-99,-99,-99,-99,-99,-99
1981,9,74.6488,18.6173,30.4681,24.5187,71.2327,26.1773,4.92204,0.85,0.71,0.95,-99,-99,-99,-99,-99
1981,10,58.9415,18.3882,31.2251,24.7808,71.1523,27.2432,3.90983,-0.95,0,0.9,-99,-99,-99,-99,-99
1981,11,38.8958,17.4407,30.84,24.1157,70.4031,27.7346,3.8623,-1.93,-0.71,0.45,-99,-99,-99,-99,-99
1981,12,50.5282,16.9943,30.6613,23.8028,72.9971,27.5297,4.03289,-0.25,-0.37,-0.43,-0.06,-99,-99,-99,-99
1982,1,42.4164,17.4795,30.7483,24.0892,71.3725,27.405,4.36214,-0.45,-0.71,-0.7,0.1,-99,-99,-99,-99
1982,2,35.851,17.5925,30.9898,24.2665,67.047,27.5401,4.27496,-0.74,-1.09,-0.84,0.1,-99,-99,-99,-99
1982,3,60.6592,18.8614,32.2208,25.5167,64.4899,28.4352,3.95069,-0.85,-1.44,-0.72,-0.73,-99,-99,-99,-99
1982,4,99.0129,19.5226,31.5406,25.5066,70.747,29.2589,3.80978,0.27,-1.19,-0.9,-0.86,-99,-99,-99,-99
1982,5,108.809,19.5372,30.9376,25.2129,72.6908,29.0485,4.50283,1.77,0.1,-0.54,-0.39,-99,-99,-99,-99
1982,6,54.6907,19.1124,30.8273,24.9455,71.8273,27.7815,5.70087,-0.07,0.2,-0.7,-0.15,0.07,-99,-99,-99
1982,7,58.3573,18.7367,29.9474,24.3178,72.7904,26.6538,6.15887,-1.78,-0.13,-0.79,-0.61,0.03,-99,-99,-99
1982,8,74.5014,18.5522,29.6953,24.0993,72.7045,26.3537,6.01981,-0.66,-0.14,-0.45,-0.86,0.03,-99,-99,-99
1982,9,61.1443,18.8236,30.9387,24.8563,69.1742,26.7827,4.9436,-0.77,0,-0.55,-1.03,-0.56,-99,-99,-99
1982,10,122.19,18.4789,30.1294,24.2792,72.9684,27.5435,4.03659,2.77,1.28,0.72,-0.06,-0.05,-99,-99,-99
1982,11,105.04,17.6792,29.7149,23.6723,72.2829,28.1381,3.90163,2.31,1.51,1.62,1.16,0.48,-99,-99,-99
1982,12,61.1802,17.0797,30.0597,23.5447,70.3337,28.1556,4.21491,0.48,1.48,1.81,1.33,0.76,0.8,-99,-99
1983,1,37.1778,16.2018,29.6783,22.9156,68.9884,27.4765,4.59732,-1.01,1.51,1.57,1.24,0.59,0.96,-99,-99
1983,2,37.344,17.9964,31.2947,24.6207,65.5559,28.0526,4.52614,-0.62,1.49,0.95,1.18,0.35,0.95,-99,-99
1983,3,52.6887,19.1214,32.2279,25.6497,63.3433,28.5786,4.12745,-1.58,1.22,0.62,1.01,-0.05,0.26,-99,-99
1983,4,88.9285,20.2085,32.1974,26.1776,68.8313,29.5097,3.84161,-0.53,0.14,0.77,0.87,0.05,0.07,-99,-99
1983,5,86.243,20.2299,31.7753,25.9784,73.2554,29.1081,4.78167,0.31,-0.88,0.94,0.48,0.5,0.11,-99,-99
1983,6,57.6815,19.5297,31.1217,25.3009,72.9584,28.1141,5.32342,0.32,-1.19,1.07,0.54,0.57,0.32,-99,-99
1983,7,65.3266,19.1542,30.2534,24.6782,73.8097,27.1158,6.19259,-0.89,-1.2,0.07,0.65,0.51,0.07,-99,-99
1983,8,85.6429,19.2575,29.8644,24.5354,73.0486,26.3604,6.07349,0.34,-0.79,-0.78,0.78,0.61,-0.01,-99,-99
1983,9,71.5927,19.1333,30.9433,25.0131,72.2558,26.3517,5.42809,0.52,-0.04,-0.87,0.9,0.78,-0.05,-99,-99
1983,10,71.199,18.986,30.9922,24.9638,70.8534,26.8192,4.37642,-0.08,0.11,-0.68,0.15,0.72,0.09,-99,-99
1983,11,47.5586,17.9255,30.9405,24.408,70.2274,27.7963,3.86248,-1.15,-0.44,-0.85,-0.97,0.14,0.19,-99,-99
1983,12,52.1167,16.8662,30.1216,23.4697,70.0525,27.7684,4.29746,-0.17,-0.51,-0.47,-1.14,0.11,0.17,0.18,-99
1984,1,44.2878,16.2251,29.8265,23.0013,67.0432,27.0689,4.95481,-0.24,-0.36,-0.37,-0.95,0.36,0.28,0.36,-99
1984,2,36.3057,17.0241,31.6838,24.3292,62.2245,26.8924,4.6388,-0.74,-0.6,-0.57,-0.91,0.37,0.26,0.36,-99
